Gene1	Gene2	EdgeWeight
AZU1	PRTN3	83.4831701619598
PRTN3	AZU1	63.26949103380613
SRGN	MS4A3	45.06461447550865
AZU1	MPO	40.71765256443532
HSP90B1	HSPA5	40.273870357160774
RNVU1-15	AC109326.1	40.26003639441278
CTSG	MPO	38.151129261635816
PRG2	IL5RA	36.873925801537716
HSPA5	HSP90B1	36.233759294769776
AZU1	SRGN	34.685635103888075
ELANE	MPO	33.02181126810777
PRKAG2	JUND	32.87848712913833
ELANE	SRGN	32.09680910618158
CST7	SRGN	31.234238394441252
ACY3	KCNE5	31.028010590994068
FANCA	FP671120.5	30.990149422402386
PRTN3	MPO	30.125235626214923
MPO	PRTN3	28.87780094195257
IL5RA	MS4A3	28.52337713129011
IGHM	LSP1	28.234766618685498
FANCA	JUND	27.844408848414155
RNVU1-15	AC245014.3	27.4470452222359
MPO	CD52	27.413686983751067
MS4A3	SRGN	27.355952382604485
FTL	GRN	27.16914993098157
AC109326.1	RNVU1-15	26.838771071875406
PRSS21	FP671120.5	26.31260600218791
ELANE	FP671120.5	25.79031254888064
AC099778.1	ELANE	25.653885657124448
ARFRP1	JUND	25.20099149709127
JUND	AC109326.1	24.940254852480408
AC245014.3	RNVU1-15	24.7607531400781
CRELD2	SDF2L1	24.520067512403372
AC245014.3	AC109326.1	24.089472358926677
CTSG	PRTN3	23.993489959934006
SDF2L1	HSP90B1	23.97536767502393
PRTN3	SRGN	23.727407917017214
SDF2L1	HSPA5	23.405961636198672
KIF17	KCNE5	22.964124552082303
ELANE	CTSG	22.903773961646948
CMTR2	ITM2A	22.645448044591326
JUND	FOSB	22.279194844539646
SNHG29	MS4A3	22.224162597953722
IGFBP2	CALR	22.14503900583604
SERPINB1	SRGN	22.05150483944944
CST3	LYZ	21.748873162360987
SDF2L1	CRELD2	21.46626912481851
DUSP2	FOSB	21.31118116030085
AC099778.1	FP671120.5	21.247106609180666
LRG1	CTSG	21.2172494254871
PRSS21	ELANE	20.92165926493079
MPO	AZU1	20.798157215594426
MPO	SRGN	20.68811035111894
POLR2L	EIF3E	20.46301112541661
CTSG	SRGN	20.26167449930617
ELANE	AZU1	20.107144020820225
FTL	RECQL4	20.06725693565813
MPO	CD164	19.990952047244694
KCNE5	KIF17	19.53315789450367
MS4A3	SNHG29	19.43229398987052
FP671120.5	ELANE	19.337124542020263
LYZ	CST3	19.121280987917476
CTSG	AZU1	19.112190729695367
SERPINB10	SRGN	19.08909795025118
RECQL4	GRN	18.48442088719507
CRELD2	HSP90B1	18.374726031084176
KCNE5	CSF1R	18.340153975438735
ITM2A	SNHG29	18.05497506042672
RPP14	IL5RA	18.052632946754766
SRGN	PRTN3	17.611047499049715
RANGAP1	FP671120.5	17.515863671456614
IGFBP2	PRTN3	17.447304888424455
RNASE2	SRGN	17.37276221165173
PLTP	CTSG	17.243672599903363
CALR	CFD	17.2282478579374
HIST1H4C	HMGB2	17.137722775913772
SSR4	FP671120.5	16.978164169599072
SRGN	MPO	16.96434543749193
PRSS21	JUND	16.953336234229408
JUND	RNVU1-15	16.931237842387453
ARFRP1	FP671120.5	16.78731841562764
MS4A3	LSP1	16.6897383903479
CSF1R	KCNE5	16.63784322556758
DUSP2	AC109326.1	16.533653772256475
ALAS1	SRGN	16.52765243864073
ACSM3	SNHG29	16.476303970737018
SRGN	SERPINB1	16.17034107539924
ELANE	PRTN3	15.877306527765993
PRTN3	LSP1	15.860075270261376
MPO	APLP2	15.85686079377739
AC109326.1	JUND	15.837300554952428
CST7	CTSG	15.77523829503474
JUND	FP671120.5	15.521905368733039
AZU1	CALR	15.511359217853274
IL2RG	CD164	15.365870278329881
CANX	HSP90B1	15.342864080198105
RANGAP1	JUND	15.211082379398947
ELANE	JUND	15.15205860735821
CFD	CALR	14.780381601584725
FANCA	ELANE	14.754641253866493
RAD51	NCAPH	14.687795704261447
FP671120.5	JUND	14.523649092357536
AC109326.1	AC245014.3	14.333957510465796
ARFRP1	ELANE	14.322704867569382
SSR4	JUND	14.27054941648139
MAPKAPK3	GRN	14.2357361168713
MS4A3	IL5RA	14.040897794796894
VAT1	ITM2A	13.976686521005204
LRRC45	FP671120.5	13.851698509559796
GRN	FTL	13.806075954350845
CST3	KCNE5	13.740084895740551
SYVN1	IGHM	13.73292891937245
CXorf21	CSF1R	13.713426888261356
PRTN3	CALR	13.653572050250911
SRGN	CD52	13.647400732191944
LSP1	IGHM	13.600901173366987
LRRCC1	SERPINB10	13.576004729897535
SRGN	ALAS1	13.474321402165575
LINC00173	HIST1H4C	13.459531252709231
RNVU1-15	JUND	13.4343224041339
C1QTNF4	SDF2L1	13.41994666674963
POM121	IGFBP2	13.413295212037966
CD52	MPO	13.374406570833974
CST3	GRN	13.329213678010854
PRG2	CEBPE	13.297536326873194
HSP90B1	SDF2L1	13.173434543915516
EIF3E	POLR2L	13.126267702579053
PRTN3	SDF2L1	13.093635575166195
CALR	HSP90B1	13.00836775061502
SLC38A10	SSR4	12.9698416256865
SRP14	EIF3E	12.967595175514086
FOSB	AC109326.1	12.916881653945019
LYZ	CALR	12.911849996474471
CCNYL1	ITM2A	12.909386183556366
PRMT1	CALR	12.905048259227154
AC099778.1	SSR4	12.899655153175473
MLH3	JUND	12.842136297067654
CXorf21	KCNE5	12.784141492032434
SLC38A10	ELANE	12.713872759777258
AL034397.3	ITM2A	12.683105071933033
HGF	MS4A3	12.670568051604214
RNVU1-15	FOSB	12.582244439879151
IGFBP2	AZU1	12.491478046945382
RANGAP1	ELANE	12.472084615550527
LYZ	MPO	12.449080642915025
MS4A3	MPO	12.238882184052045
HIST1H4C	SDF2L1	12.207489377874804
UTP15	SMC4	12.166606339015381
ZBTB33	TUBE1	12.111251508568197
RPL3P4	AC109326.1	12.024906145602245
PRTN3	CHID1	12.01247400131744
RPL3P4	C1QTNF4	11.994018131329419
FOSB	JUND	11.986716395919444
AZU1	MS4A3	11.92913412943392
KCNE5	CST3	11.928759876871496
GPI	AZU1	11.887108057010634
SYNGR1	GRN	11.742734603237686
CEBPE	CALR	11.718552738922256
ZBED4	SMC4	11.69691598874372
CEBPE	MS4A3	11.648730926466365
CPVL	CSF1R	11.638224273998134
NCOA4	MS4A3	11.574164011979219
JUND	SSR4	11.566978276169277
RANGAP1	SSR4	11.507803242545185
GPI	EIF3E	11.492729051813438
C3AR1	DNAJB9	11.451002779352384
KCNE5	CXorf21	11.406406275934625
HSPA5	SDF2L1	11.340480573671734
FNDC3B	ACSM3	11.320653986935158
JKAMP	PRG2	11.289801507128162
FP671120.5	SNHG29	11.216185641361749
NUDT8	IGHM	11.205384878807518
GRN	CST3	11.190262669124007
PUS3	COQ3	11.189469695132413
RCCD1	CD52	11.171272301085331
CST7	SERPINB1	11.158725883423193
CST3	CSF1R	11.120151979544644
PRSS21	SSR4	11.11357084950964
CCDC169	B3GALNT1	11.073558281552101
SRGN	SERPINB10	11.040921929373713
MAN1A1	PRG2	11.033423671233606
PCK2	CSF1R	11.021996921868247
PRG2	MS4A3	10.985789076870267
AZU1	CFD	10.927144477945909
AC245014.3	JUND	10.9192508641983
C1QTNF4	AC109326.1	10.903363297371648
FARSA	TPM3	10.884088265573038
SLC38A10	FP671120.5	10.88201582205052
KBTBD11	EIF3E	10.878271917488918
KCNE5	LSP1	10.746040138383057
CRELD2	HSPA5	10.7156508406154
PLS1	CHID1	10.70963016849193
LSP1	SRGN	10.703513757189867
HIST1H4C	NCAPH	10.681815666158974
IL5RA	FAM107B	10.591150786526118
FNDC3B	CLEC5A	10.590451155762095
HSP90B1	CRELD2	10.57681417895623
MYO15B	CSF3R	10.540134042118
RPL3P4	CST7	10.516417224839712
KCNAB2	IGHM	10.407390631728386
KBTBD11	POLR2L	10.361770252872734
TMEM214	CTSG	10.355824804471736
MPO	CSF3R	10.326923004344145
IL5RA	PRG2	10.319901581129896
PLD1	FOSB	10.314787770789698
ITGAL	GRN	10.278118127963534
JUND	ELANE	10.258364407528047
LYZ	PRTN3	10.241570385995404
ACY3	KIF17	10.23903650774084
PCBP3	CRELD2	10.13128891719883
AC017104.3	AC109326.1	10.125247862077002
SDF2L1	RNVU1-15	10.114888560742472
EIF3E	SNHG29	10.110297203165118
SERPINB10	CANX	10.051230798985973
TENT5A	MPO	9.962860359881482
FP671120.5	SSR4	9.92699926608295
DYNC2LI1	IL5RA	9.923133892744797
CABIN1	CSF3R	9.900763908893401
CTSG	ELANE	9.869134691953088
CMTR2	VAT1	9.865351745260163
RASAL3	KIF17	9.826238210350906
SNHG29	ITM2A	9.798242099253184
PCK2	CFD	9.787110698631912
KIF17	CST3	9.778911395957218
SSH3	AZU1	9.757223376992616
TENT5A	HSP90B1	9.75624483465406
PRTN3	HSP90B1	9.71604345006626
FANCA	SSR4	9.699487513902753
ARFRP1	SSR4	9.693947197257039
ATL3	HMGB2	9.669387266262381
TRIM35	MYC	9.656023897879898
SLC25A43	SMC4	9.621006603275422
LYZ	CSF1R	9.534954379609903
PRTN3	TENT5A	9.534008330971872
ERG	SDF2L1	9.51431289862112
SERPINB1	SNHG29	9.507757965576218
SRGN	HSP90B1	9.505065272786027
CST7	AZU1	9.426948566648994
TRIQK	RNVU1-15	9.398197952505496
GPI	PRTN3	9.367306537149654
RNVU1-15	SDF2L1	9.356081157275137
AC099778.1	JUND	9.343823106813707
AKR1B1	TPM3	9.329445317089624
HSP90B1	CALR	9.295521787563198
FP671120.5	CD164	9.25551773625091
GPI	POLR2L	9.254702824616599
CALR	PRTN3	9.219209145595666
PRTN3	CD52	9.18944312820013
FKBP14	FOSB	9.144870097034133
JUND	AC245014.3	9.126193411632466
SRGN	AZU1	9.117380129453633
ALDH3A2	CD52	9.078279672333196
PRDX4	RBM15B	9.04060352943818
CSF1R	CXorf21	9.0396541097391
HIST1H4C	SMC4	9.022457395749212
OSBP	IL5RA	8.967333647982729
RNASE2	HSP90B1	8.942318473596206
CD52	LSP1	8.942085008214256
SSR4	ELANE	8.94185578624382
SLC19A1	IGHM	8.907530197771054
CEP120	CLEC5A	8.897006943543794
LEKR1	FOSB	8.865623288968266
DPH2	GRN	8.86291440398811
NAGPA	JUND	8.824508795807631
CDS2	MYC	8.81949845508598
AL031432.4	CEBPE	8.816747526169346
MPO	CTSG	8.806557824384766
RNASE2	MS4A3	8.770607799048758
APLP2	MPO	8.752276426347926
MS4A3	HGF	8.739654039405067
GPT2	AZU1	8.733409631994482
SRGN	TENT5A	8.71957613931344
FBN2	HSP90B1	8.692608417337523
LYZ	FAM107B	8.677060484847138
APLP2	IL5RA	8.657042733225742
HSF2	HMGB2	8.65194089644497
NT5DC2	NOTCH1	8.64960618026383
SSH3	PRTN3	8.630020087735081
LSP1	MS4A3	8.610082768027919
FAM107B	LYZ	8.607885432868159
NFYB	FOSB	8.587134082693085
SRGN	APLP2	8.54438750792832
ITM2A	APLP2	8.514824590650141
AZU1	IGFBP2	8.496639587237159
IMPAD1	ITM2A	8.486541625190464
SSR4	PRTN3	8.456840473198799
NCOA4	SNHG29	8.431333408162082
LYZ	SRGN	8.41384742338058
ACSM3	MS4A3	8.354348200851776
IRS2	CXorf21	8.350253682541389
SLC22A31	SRGN	8.338253389036092
NFYB	OSBPL9	8.331236244933597
ELANE	SSR4	8.320786909333991
POLR2L	GPI	8.304761521024759
CCL23	NCAPH	8.287207239745861
DDIAS	NCAPH	8.279003463916446
MS4A3	TRBV12-3	8.256292463338589
AC109326.1	FOSB	8.203937089014055
