Gene1	Gene2	EdgeWeight
g8	g7	0.439281652008015
g7	g8	0.4265670304425649
g1	g2	0.4055305407642644
g2	g1	0.3604776656090225
g7	g4	0.2951559700817081
g6	g3	0.2859481086788556
g8	g4	0.2190675076954258
g2	g3	0.2176832747333464
g1	g6	0.2085725264800057
g4	g8	0.2024066204912608
g4	g7	0.1981810776317222
g8	g6	0.1834074206895516
g6	g4	0.1778144547396204
g7	g6	0.1692912786225512
g6	g1	0.1686345942055455
g8	g1	0.166512200645246
g4	g6	0.163788744126604
g4	g3	0.1618667874365976
g7	g1	0.1607670087255769
g8	g2	0.1563692527701501
g7	g2	0.1534267662966753
g3	g6	0.1529168503773138
g1	g4	0.1268184052423465
g1	g8	0.1257878219245232
g1	g3	0.1236859447780024
g2	g6	0.1220231797039734
g6	g8	0.1196710211388124
g2	g7	0.1187480389197629
g1	g7	0.1126347041701601
g6	g7	0.1106590916002364
g3	g2	0.1084907728493518
g6	g2	0.1081007786104387
g8	g3	0.107725932667103
g7	g3	0.1030899517060947
g2	g8	0.0969769413730785
g2	g4	0.0950943753453036
g3	g4	0.0860492868955954
g4	g1	0.0840206864489388
g4	g2	0.0680818887091195
g3	g1	0.0595878443656701
g3	g8	0.02859056462976
g3	g7	0.020495435670103
