Gene1	Gene2	EdgeWeight
g2	g3	48
g4	g8	48
g6	g4	47
g8	g1	47
g3	g4	46
g1	g4	46
g2	g8	45
g3	g6	45
g7	g7	44
g1	g8	44
g4	g7	43
g3	g2	43
g4	g3	42
g8	g6	42
g1	g6	41
g1	g1	41
g7	g1	40
g3	g8	39
g3	g3	39
g6	g3	38
g6	g2	38
g1	g2	37
g8	g8	37
g4	g4	36
g6	g7	35
g8	g3	34
g4	g6	33
g1	g3	32
g7	g6	31
g7	g2	31
g8	g7	29
g2	g4	27
g7	g3	26
g6	g6	26
g6	g1	25
g2	g1	23
g2	g6	22
g4	g2	22
g8	g4	19
g8	g2	18
g4	g1	16
g1	g7	16
g6	g8	15
g7	g8	15
g2	g2	14
g3	g1	14
g2	g7	11
g7	g4	7
g3	g7	5
