Gene1	Gene2	EdgeWeight
g8	g7	118.46323621954728
g2	g1	101.90640429355008
g1	g2	86.43762526284989
g7	g4	86.38302753919604
g7	g8	83.08823683608529
g1	g6	80.58131207028745
g8	g4	75.61131827085998
g8	g6	72.86312587298069
g7	g6	70.30159457001747
g4	g6	65.97254492795972
g6	g3	63.88156654410754
g6	g7	59.96977733839815
g4	g7	58.14799412967755
g7	g1	57.69225753279321
g4	g8	57.34704280729128
g6	g8	55.89192845628305
g2	g3	53.746408056850655
g3	g6	53.31376384911642
g6	g1	51.78017733664415
g8	g1	51.16131918894981
g6	g4	50.80227654858495
g1	g7	50.01383521971809
g7	g2	47.19791232747063
g1	g8	44.07890074957077
g1	g4	43.00456956684551
g2	g8	42.86927329195759
g2	g7	41.67023057877701
g4	g3	39.23123004363633
g8	g2	38.85296053021023
g2	g6	37.96765870963824
g3	g2	32.17766861000475
g6	g2	32.16915421379953
g4	g1	29.53559935020895
g3	g4	28.576849602063707
g1	g3	27.89029977754509
g2	g4	25.621958472449823
g7	g3	23.69525167429137
g4	g2	23.164679055664976
g3	g7	22.734926513881923
g3	g1	21.92424229785377
g8	g3	21.55524390356901
g3	g8	18.72461785881204
