Gene1	Gene2	EdgeWeight
g1	g1	1.0
g3	g3	1.0
g6	g6	1.0
g7	g7	1.0
g4	g4	1.0
g1	g1	1.0
g8	g8	1.0
g2	g2	1.0
g6	g3	0.999994
g1	g2	0.999983
g1	g8	0.999977
g7	g4	0.99993
g8	g1	0.999778
g2	g1	0.997823
g6	g1	0.997737
g2	g3	0.997151
g4	g7	0.9892
g3	g4	0.989108
g2	g8	0.981076
g8	g6	0.968149
g3	g6	0.965595
g4	g3	0.885207
g2	g4	0.85415
g6	g8	0.820385
g8	g2	0.70717
g2	g6	0.533596
g7	g1	0.527567
g7	g6	0.513957
g7	g2	0.447628
g7	g8	0.442052
g7	g3	0.441355
g3	g2	0.408464
g1	g6	0.35843
g4	g6	0.348865
g4	g8	0.314752
g4	g2	0.296236
g3	g1	0.283912
g1	g3	0.253398
g6	g4	0.240107
g4	g1	0.205164
g6	g7	0.175783
g8	g3	0.174591
g6	g2	0.149261
g8	g4	0.143126
g3	g7	0.139419
g8	g7	0.131491
g1	g4	0.121369
g3	g8	0.114282
g2	g7	0.102684
g1	g7	0.10214
