Gene1	Gene2	EdgeWeight
g7	g1	0.917102360674867
g1	g7	0.917102360674867
g8	g7	0.916569995312668
g7	g8	0.916569995312668
g8	g1	0.91489274302373
g1	g8	0.91489274302373
g7	g2	0.905911260178086
g8	g2	0.900464891452984
g1	g2	0.872688808591093
g6	g1	0.870787661237264
g2	g7	0.847656152958008
g2	g8	0.823850575150483
g2	g1	0.785654769129758
g4	g1	0.774505867590871
g1	g6	0.749429254630094
g4	g8	0.74145500367861
g4	g7	0.71926455768491
g1	g4	0.703282149167868
g7	g3	0.672733059706728
g8	g3	0.670655373880387
g2	g3	0.657190363994105
g7	g4	0.64217310339104
g4	g2	0.640990202905178
g8	g4	0.612286165003375
g3	g6	0.609869143401778
g1	g3	0.565585647196879
g6	g2	0.557973733144851
g6	g3	0.552609513302863
g7	g6	0.526117139705922
g8	g6	0.521044242308088
g2	g6	0.51263459535414
g2	g4	0.499011007078014
g3	g2	0.45103284774037
g6	g8	0.441075749394328
g3	g1	0.434403165455602
g6	g7	0.428960471549041
g6	g4	0.414957868795409
g3	g4	0.378739113974294
g4	g3	0.36823414649782
g3	g7	0.312159801393098
g4	g6	0.288280588075267
g3	g8	0.284132508715847
