Gene1	Gene2	EdgeWeight
g1	g2	1.9079262661368688
g2	g1	1.9079262661368688
g3	g6	1.805413399213036
g6	g3	1.805413399213036
g4	g7	1.7656833410578072
g7	g4	1.7656833410578072
g7	g8	1.7318857316278844
g8	g7	1.7318857316278844
g4	g8	1.5715834732924794
g8	g4	1.5715834732924794
g1	g7	1.4243849760411735
g7	g1	1.4243849760411735
g2	g3	1.4105876932177268
g3	g2	1.4105876932177268
g1	g8	1.3806032248514952
g8	g1	1.3806032248514952
g4	g6	1.1445653821412745
g6	g4	1.1445653821412745
g1	g6	1.0826215837707167
g6	g1	1.0826215837707167
g2	g7	0.9755784557085184
g7	g2	0.9755784557085184
g6	g8	0.928052615265327
g8	g6	0.928052615265327
g2	g8	0.8649044985884019
g8	g2	0.8649044985884019
g2	g4	0.7845996867924092
g4	g2	0.7845996867924092
g3	g4	0.6389740149045053
g4	g3	0.6389740149045053
g3	g8	0.5442394195070007
g8	g3	0.5442394195070007
g1	g4	0.5360317247602552
g4	g1	0.5360317247602552
g1	g3	0.4876645455523334
g3	g1	0.4876645455523334
g2	g6	0.3082711391758402
g6	g2	0.3082711391758402
g6	g7	0.2567440155635477
g7	g6	0.2567440155635477
g3	g7	0.058345091406556
g7	g3	0.058345091406556
