Gene1	Gene2	EdgeWeight
g1	g1	1.0
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g6	g6	1.0
g7	g7	1.0
g8	g8	1.0
g2	g1	0.594080095522584
g1	g2	0.594080095522584
g6	g3	0.387596371113052
g3	g6	0.387596371113051
g2	g3	0.385101809434062
g3	g2	0.385101809434062
g6	g1	-0.358448314321953
g1	g6	-0.358448314321952
g4	g7	0.335113421533771
g7	g4	0.335113421533771
g6	g7	-0.328114276406068
g7	g6	-0.328114276406068
g8	g6	0.311415191957125
g6	g8	0.311415191957125
g8	g4	-0.30724817139116
g4	g8	-0.30724817139116
g8	g7	-0.288188383129017
g7	g8	-0.288188383129017
g8	g1	0
g1	g8	0
g3	g4	0
g4	g3	0
g3	g8	0
g8	g3	0
g7	g3	0
g3	g7	0
g6	g4	0
g4	g6	0
g4	g1	0
g1	g4	0
g2	g6	0
g6	g2	0
g8	g2	0
g2	g8	0
g4	g2	0
g2	g4	0
g2	g7	0
g7	g2	0
g1	g3	0
g3	g1	0
g7	g1	0
g1	g7	0
