Gene1	Gene2	EdgeWeight
g4	g8	0.123609442360073
g4	g3	0.098297169754389
g3	g1	0.0913539676697571
g3	g6	0.0837545451181815
g4	g1	0.078322105472357
g7	g3	0.0670202272474999
g4	g7	0.066538687116904
g1	g2	0.0647285663092067
g6	g3	0.0630088345997437
g4	g6	0.0604879495504495
g8	g2	0.0602272727272727
g8	g1	0.0596584977281891
g8	g3	0.0595090063848859
g2	g6	0.0553853553853554
g3	g7	0.0531045751633987
g3	g2	0.0495104917041675
g6	g1	0.0493168855262403
g3	g8	0.0482478263051018
g4	g2	0.0388831654456655
g6	g4	0.0367292557320131
g7	g4	0.0346933926077948
g8	g6	0.0323529411764706
g2	g8	0.0312069243887426
g6	g8	0.0293464941491258
g1	g3	0.0265567088023462
g3	g4	0.0233033291412901
g2	g4	0.0229883332156059
g7	g8	0.0221277854090354
g6	g7	0.0209055413970275
g2	g3	0.0201298701298701
g2	g7	0.0198409458436197
g8	g4	0.0150278117289786
g1	g6	0.0143633256309824
g6	g2	0.0129760359882792
g8	g7	0.0126262626262626
g2	g1	0.0120535714285714
g1	g4	0.0111934815041938
g1	g7	0.0072495932393308
g7	g6	0.0072423555976187
g7	g2	-0.0027299347539285
g1	g8	-0.0122060945590357
