Gene1	Gene2	EdgeWeight
g6	g8	1.0
g4	g8	1.0
g6	g1	0.899121152359456
g6	g6	0.772414874969885
g3	g1	0.713963533186662
g4	g6	0.523413000374493
g2	g6	0.510578731021153
g8	g8	0.413318954856794
g3	g8	0.41239590521674
g1	g3	0.398042555545613
g1	g6	0.344962043492913
g6	g3	0.327666946002752
g4	g2	0.301246566390431
g8	g1	0.280141055743052
g6	g2	0.204436302883569
g1	g2	0.196642655607516
g4	g3	0.19563220525794
g2	g3	0.142734045041005
g2	g8	0.082598161707048
g7	g8	0.0783284582573007
g8	g3	0.0557835073359379
g7	g6	0.0432384097452419
g3	g2	0.0412984033129785
g8	g6	0.0365849290967553
g8	g2	0.0282095303251618
g6	g7	0.0077554531921923
g1	g7	0.0048034845156502
g2	g7	0.0019815228289948
g3	g7	1.5495773122548199e-34
g8	g7	1.52046734869771e-34
g2	g2	1.07688220427164e-34
g2	g4	9.95151977530327e-35
g6	g4	4.6989957142290704e-35
g7	g3	5.50908033221135e-36
g4	g1	1.20190499035437e-36
g4	g4	1.1845587285882399e-36
g8	g4	9.780401818587499e-37
g1	g4	6.00835914043046e-37
g1	g1	1.40193780283622e-37
g7	g7	0.0
g2	g1	0.0
g3	g6	0.0
g7	g1	0.0
g7	g2	0.0
g3	g3	0.0
g3	g4	0.0
g7	g4	0.0
g4	g7	0.0
g7	g1	0.0
g7	g2	0.0
g2	g1	0.0
g1	g8	0.0
g7	g7	0.0
g4	g7	0.0
g3	g6	0.0
g7	g4	0.0
g3	g4	0.0
g3	g3	0.0
g1	g8	0.0
